State,District,Year,Area (Hectare),Production (Tonnes),Yield (Kg/Ha),Crop,Season,ndvi_mean,ndvi_max,ndvi_std,ndvi_reading_count
1. Karnataka,RAICHUR,2014,37594.0,24929.0,0.66,Arhar,Kharif,,,,
1. Karnataka,RAICHUR,2015,33623.0,14246.0,0.42,Arhar,Kharif,,,,
1. Karnataka,RAICHUR,2016,89220.0,70265.0,0.79,Arhar,Kharif,,,,
1. Karnataka,RAICHUR,2017,38188.0,27100.0,0.71,Arhar,Kharif,,,,
1. Karnataka,RAICHUR,2018,102883.0,36261.0,0.35,Arhar,Kharif,,,,
1. Karnataka,RAICHUR,2019,144487.0,77965.0,0.54,Arhar,Kharif,0.349525,0.6662,0.25975554373294907,4.0
1. Karnataka,RAICHUR,2020,153093.0,108390.0,0.71,Arhar,Kharif,0.5621875,0.7297,0.15593997414298322,8.0
1. Karnataka,RAMANAGARA,2010,3363.0,1444.0,0.43,Arhar,Kharif,,,,
1. Karnataka,RAMANAGARA,2011,3210.0,2531.0,0.79,Arhar,Kharif,,,,
1. Karnataka,RAMANAGARA,2012,3559.0,2008.0,0.56,Arhar,Kharif,,,,
1. Karnataka,RAMANAGARA,2013,5030.0,4654.0,0.93,Arhar,Kharif,,,,
1. Karnataka,RAMANAGARA,2014,2468.0,1564.0,0.63,Arhar,Kharif,,,,
1. Karnataka,RAMANAGARA,2015,3557.0,2774.0,0.78,Arhar,Kharif,,,,
1. Karnataka,RAMANAGARA,2016,3275.0,1055.0,0.32,Arhar,Kharif,,,,
1. Karnataka,RAMANAGARA,2017,3377.0,2416.0,0.72,Arhar,Kharif,,,,
1. Karnataka,RAMANAGARA,2018,1379.0,760.0,0.55,Arhar,Kharif,,,,
1. Karnataka,RAMANAGARA,2019,1644.0,1151.0,0.7,Arhar,Kharif,,,,
1. Karnataka,RAMANAGARA,2020,1745.0,1260.0,0.72,Arhar,Kharif,,,,
1. Karnataka,SHIMOGA,2010,282.0,165.0,0.59,Arhar,Kharif,,,,
1. Karnataka,SHIMOGA,2011,466.0,213.0,0.46,Arhar,Kharif,,,,
1. Karnataka,SHIMOGA,2012,665.0,471.0,0.71,Arhar,Kharif,,,,
1. Karnataka,SHIMOGA,2013,252.0,231.0,0.92,Arhar,Kharif,,,,
1. Karnataka,SHIMOGA,2014,251.0,163.0,0.65,Arhar,Kharif,,,,
1. Karnataka,SHIMOGA,2015,296.0,109.0,0.37,Arhar,Kharif,,,,
1. Karnataka,SHIMOGA,2016,453.0,452.0,1.0,Arhar,Kharif,,,,
1. Karnataka,SHIMOGA,2017,491.0,466.0,0.95,Arhar,Kharif,,,,
1. Karnataka,SHIMOGA,2018,23.0,14.0,0.61,Arhar,Kharif,,,,
